client,dim,rollup,item,share_model,share_spend,roas_index,proxy_ratio,csl_dev,vertical,tipo
opella_eletromidia,Ambiente,grupo,interno-de-trem,0.2225978455985206,0.03809277309580103,5.84357156247723,1.013670948210003,0.18450507250271955,transportes,indoor
opella_eletromidia,Ambiente,grupo,__outros__ambiente,0.07006404792577935,0.07869636990570217,0.8903085111769896,1.013670948210003,0.18450507250271955,,
opella_eletromidia,Ambiente,grupo,edificios-residenciais,0.06879938123546886,0.09700010469040603,0.7092712059956527,1.013670948210003,0.18450507250271955,edificios,indoor
opella_eletromidia,Ambiente,grupo,edificios-comerciais,0.06700329790220935,0.09185846230260215,0.7294188931824879,1.013670948210003,0.18450507250271955,edificios,indoor
opella_eletromidia,Ambiente,grupo,shoppings-cobertura,0.06054670202420672,0.04329240670978122,1.3985524627931385,1.013670948210003,0.18450507250271955,shoppings,indoor
opella_eletromidia,Ambiente,grupo,cptm,0.059804376499266065,0.02988962917057317,2.0008403636584577,1.013670948210003,0.18450507250271955,transportes,indoor
opella_eletromidia,Ambiente,grupo,bancas-de-jornal,0.05235374635032804,0.09933136451432412,0.5270615842871901,1.013670948210003,0.18450507250271955,ruas,outdoor
opella_eletromidia,Ambiente,grupo,relogios-de-rua,0.03636238311888032,0.09252567087349861,0.3929977786229195,1.013670948210003,0.18450507250271955,ruas,outdoor
opella_eletromidia,Ambiente,grupo,vlt-tig,0.016995141929208667,0.02936028483667516,0.5788479922367553,1.013670948210003,0.18450507250271955,transportes,indoor
opella_eletromidia,Ambiente,grupo,grandes-formatos,0.016212711743447492,0.02656251239110361,0.610360627968215,1.013670948210003,0.18450507250271955,ruas,outdoor
opella_eletromidia,Ambiente,vertical,ruas,0.4341892068853404,0.5918099692884591,0.7336632186297433,1.013670948210003,0.18450507250271955,,
opella_eletromidia,Ambiente,vertical,transportes,0.29939736402699535,0.09734268710304936,3.075704738970745,1.013670948210003,0.18450507250271955,,
opella_eletromidia,Ambiente,vertical,edificios,0.1358026791376782,0.18885856699300818,0.7190707909093995,1.013670948210003,0.18450507250271955,,
opella_eletromidia,Ambiente,vertical,__outros__ambiente,0.07006404792577935,0.07869636990570217,0.8903085111769896,1.013670948210003,0.18450507250271955,,
opella_eletromidia,Ambiente,vertical,shoppings,0.06054670202420672,0.04329240670978122,1.3985524627931385,1.013670948210003,0.18450507250271955,,
opella_eletromidia,Ambiente,tipo,indoor,0.49574674518888023,0.32949366080583875,1.504571420210144,1.013670948210003,0.18450507250271955,,
opella_eletromidia,Ambiente,tipo,outdoor,0.4341892068853404,0.5918099692884591,0.7336632186297433,1.013670948210003,0.18450507250271955,,
opella_eletromidia,Ambiente,tipo,__outros__ambiente,0.07006404792577935,0.07869636990570217,0.8903085111769896,1.013670948210003,0.18450507250271955,,
opella_eletromidia,Praca,estado,sao-paulo,0.5183135362306672,0.5955633077079708,0.8702912511944366,0.9832764095071621,0.17253061106356404,,
opella_eletromidia,Praca,estado,ceara,0.20992802112988584,0.037397410066321815,5.613437421404115,0.9832764095071621,0.17253061106356404,,
opella_eletromidia,Praca,estado,rio-de-janeiro,0.0985177463654199,0.1833205363940606,0.5374070374398696,0.9832764095071621,0.17253061106356404,,
opella_eletromidia,Praca,estado,__outros__praca,0.06890938173076591,0.04686410656151913,1.4704085234252284,0.9832764095071621,0.17253061106356404,,
opella_eletromidia,Praca,estado,minas-gerais,0.057771908561862206,0.038001862607535526,1.5202388671971676,0.9832764095071621,0.17253061106356404,,
opella_eletromidia,Praca,estado,bahia,0.02427422631044626,0.04683589643937024,0.5182825173821451,0.9832764095071621,0.17253061106356404,,
opella_eletromidia,Praca,estado,pernambuco,0.022285179670952653,0.052016880223221956,0.4284220732831235,0.9832764095071621,0.17253061106356404,,
opella_eletromidia,Praca,praca,sao-paulo,0.5183135362306672,0.5955633077079708,0.8702912511944366,0.9832764095071621,0.17253061106356404,,
opella_eletromidia,Praca,praca,fortaleza,0.20992802112988584,0.037397410066321815,5.613437421404115,0.9832764095071621,0.17253061106356404,,
opella_eletromidia,Praca,praca,rio-de-janeiro,0.0985177463654199,0.1833205363940606,0.5374070374398696,0.9832764095071621,0.17253061106356404,,
opella_eletromidia,Praca,praca,__outros__praca,0.06890938173076591,0.04686410656151913,1.4704085234252284,0.9832764095071621,0.17253061106356404,,
opella_eletromidia,Praca,praca,belo-horizonte,0.057771908561862206,0.038001862607535526,1.5202388671971676,0.9832764095071621,0.17253061106356404,,
opella_eletromidia,Praca,praca,salvador,0.02427422631044626,0.04683589643937024,0.5182825173821451,0.9832764095071621,0.17253061106356404,,
opella_eletromidia,Praca,praca,recife,0.022285179670952653,0.052016880223221956,0.4284220732831235,0.9832764095071621,0.17253061106356404,,
